시도,평균,여가활용 만족도,노인여가복지시설 수,도서관 수,문화기반시설 수,체육관련 여가시설 수
경상북도 영천시,0.4758,0.3748,0.6151,0.2601,0.4127,0.7638
경상북도 상주시,0.4531,0.3606,0.7751,0.0913,0.4984,0.6172
경상북도 문경시,0.5747,0.3559,0.7309,0.1603,0.7613,0.7823
경상북도 경산시,0.2563,0.4928,0.356,0.182,0.3225,0.2644
경상북도 군위군,0.6978,0.2473,0.8686,0.2847,0.8818,0.9621
경상북도 의성군,0.513,0.1687,0.8793,0.3785,0.556,0.5809
경상북도 청송군,0.7737,0.9052,0.885,0.3966,0.9698,0.3678
경상북도 영양군,0.6527,0.1817,0.9333,0.4643,0.9805,0.5186
경상북도 영덕군,0.3577,0.118,0.7248,0.3048,0.4058,0.4377
경상북도 청도군,0.4856,0.6946,0.8016,0.1287,0.57,0.2678
경상북도 고령군,0.7581,0.6305,0.8135,0.3806,0.7047,0.9374
경상북도 성주군,0.3945,0.1335,0.8001,0.1757,0.4522,0.5651
경상북도 칠곡군,0.4719,0.2553,0.5616,0.9186,0.3229,0.3537
경상북도 예천군,0.6828,0.4828,0.8573,0.7356,0.5976,0.516
경상북도 봉화군,0.6816,0.1987,0.8573,0.8246,0.5912,0.713
경상북도 울진군,0.558,0.342,0.754,0.4127,0.6622,0.5585
경상북도 울릉군,0.6406,0.5228,0.4297,0.2093,0.9996,0.8722
경상남도 진주시,0.3348,0.2885,0.3694,0.3754,0.2779,0.5953
경상남도 통영시,0.4245,0.0162,0.3769,0.6388,0.5161,0.6892
경상남도 사천시,0.4213,0.0773,0.5611,0.5108,0.3365,0.7399
경상남도 김해시,0.1475,0.0737,0.3482,0.2661,0.2669,0.2617
경상남도 밀양시,0.535,0.1884,0.5746,0.3738,0.5108,0.9971
경상남도 거제시,0.1987,0.0483,0.4344,0.2398,0.3119,0.371
경상남도 양산시,0.2007,0.0607,0.2631,0.5421,0.2393,0.3072
