시도,평균,환경체감도,산업폐수 방류량,녹지지역 비율,미세먼지,생활폐기물배출량
경상북도 군위군,0.5672,0.4041,0.4088,0.7911,0.3687,0.5929
경상북도 의성군,0.7042,0.6831,0.7266,0.8068,0.2279,0.6578
경상북도 청송군,0.6717,0.9639,0.7187,0.5845,0.2797,0.4281
경상북도 영양군,0.7698,0.9332,0.7185,0.8319,0.1408,0.7346
경상북도 영덕군,0.4786,0.9346,0.6046,0.3554,0.2576,0.0664
경상북도 청도군,0.8228,0.675,0.6501,0.8499,0.5518,0.8399
경상북도 고령군,0.8211,0.7835,0.2983,0.7542,0.9505,0.7731
경상북도 성주군,0.7352,0.6296,0.5465,0.4379,0.8912,0.7183
경상북도 칠곡군,0.6182,0.2595,0.434,0.8529,0.6548,0.5642
경상북도 예천군,0.6424,0.9215,0.7174,0.3698,0.1937,0.6578
경상북도 봉화군,0.6308,0.9333,0.6123,0.7117,0.4616,0.0955
경상북도 울진군,0.618,0.9087,0.2772,0.6049,0.6116,0.3622
경상북도 울릉군,0.7662,0.9521,0.5448,0.8493,0.8656,0.1332
경상남도 진주시,0.7452,0.4835,0.5747,0.8793,0.9443,0.3807
경상남도 통영시,0.5954,0.532,0.7093,0.538,0.8271,0.0696
경상남도 사천시,0.6964,0.659,0.5915,0.6519,0.9892,0.1799
경상남도 김해시,0.6984,0.1156,0.6998,0.7342,0.8454,0.6844
경상남도 밀양시,0.7807,0.825,0.5984,0.6686,0.8718,0.4377
경상남도 거제시,0.5248,0.2492,0.7115,0.4752,0.7638,0.1998
경상남도 양산시,0.6661,0.4059,0.5596,0.8309,0.641,0.5156
경상남도 창원시,0.5311,0.1947,0.6456,0.4206,0.7828,0.3807
경상남도 의령군,0.8567,0.9605,0.506,0.6923,0.9475,0.5929
경상남도 함안군,0.589,0.4669,0.2063,0.5829,0.9085,0.4863
경상남도 창녕군,0.8946,0.7612,0.6736,0.7475,0.915,0.7504
경상남도 고성군,0.8042,0.8818,0.6433,0.3509,0.8992,0.7183
경상남도 남해군,0.841,0.8801,0.7227,0.8591,0.9245,0.2512
경상남도 하동군,0.7235,0.9135,0.7093,0.1054,0.9921,0.4571
경상남도 산청군,0.8105,0.9499,0.702,0.4563,0.8849,0.5254
경상남도 함양군,0.7717,0.5959,0.6811,0.7924,0.762,0.5351
경상남도 거창군,0.7998,0.961,0.6259,0.7579,0.7415,0.3901
경상남도 합천군,0.9117,0.9261,0.6846,0.8187,0.9019,0.5834
제주특별자치도 제주시,0.6842,0.6287,0.6799,0.7994,0.9016,0.0143
제주특별자치도 서귀포시,0.6842,0.6287,0.6799,0.7994,0.9016,0.0143
